['y', 'z']
[16.876650076259814, 17.479537569979392]
[17.388123352644904, 16.287019028009446]
[16.643066583463934, 18.012309311647325]
[16.263538691952117, 18.853324591188905]
[14.091757721450557, 23.124805279455128]
[14.580854553857828, 22.14818706308297]
[15.263168430705498, 20.869740199036805]
[16.298345143838453, 18.75657667460993]
[14.447679969015407, 22.482531797855778]
[15.048932318275849, 21.281979004716973]
[15.94814966510759, 19.49855832046731]
[17.846410744626585, 15.170157856738538]
[16.745918795498675, 17.781059365168762]
[16.72367102143367, 17.830235033927824]
[16.629460490632724, 18.044520412628778]
[16.19062319627169, 19.01122821944999]
[13.115378622840362, 24.770499435204165]
[13.419848364573893, 24.133336844931502]
[13.807253556975649, 23.49530853114393]
[14.273456002904496, 22.69616399280574]
[14.853262660828372, 21.64841223185093]
[15.648698024933006, 20.107207359914472]
[17.043237749410622, 17.096291388171256]
[18.982879507086935, 12.23215469624083]
[15.408468592694115, 20.638301693121203]
[16.512380762098033, 18.288968961221848]
[15.674573511641132, 20.093720595132645]
[17.072496500955857, 17.026027880057015]
[13.274889824350646, 24.513851627578397]
[13.597475196427915, 23.843833563379306]
[14.019441157034509, 23.136406399425443]
[14.535335727883298, 22.231504976488768]
[15.198675610789694, 20.995592910859145]
[16.180735676226192, 19.005255359614246]
[13.214555780564622, 24.61157717445213]
[13.527145468906285, 23.95841844553998]
[13.93720700956529, 23.276062460246568]
[14.430219260966027, 22.418346304423796]
[15.060790962556956, 21.25809233192087]
[15.968834079849536, 19.45418617224287]
[17.93622935919636, 14.946740257850346]
[17.792054565299882, 15.309281311217973]
[16.14212098886838, 19.111320962126584]
[19.28369384696956, 11.406193574159111]
[16.21454166242331, 18.95482162584398]
[13.646683577275043, 23.89546177387222]
[14.036076541562197, 23.1073486342498]
[14.557072522555023, 22.19226219195079]
[15.226997107917745, 20.939986996155234]
[16.231047128999336, 18.897820656387598]
[13.913974587958782, 23.43748343311733]
[14.361821809522374, 22.541791312829428]
[14.964901794776317, 21.440064157147162]
[15.814766434346343, 19.770216176509187]
[17.45476834329083, 16.131331740952998]
[17.088638678766728, 16.99684236757852]
[13.589575045647406, 23.991996271697804]
[13.968224631797472, 23.223383764347258]
[14.468266608569223, 22.350430804920837]
[15.11647497867954, 21.15400644943409]
[16.044044121084816, 19.29430921979923]
[18.32285690033348, 13.974522140212672]
[13.77054049753679, 23.6855238692071]
[14.183373327118627, 22.85375765306551]
[14.738219620135704, 21.86146236713396]
[15.484781236694596, 20.436829328199327]
[16.695060269378825, 17.887887449181388]
[16.483566656620066, 18.371390639705908]
[15.487599018372702, 20.47759061204742]
[16.671382026319932, 17.940013978737475]
[16.376871478756378, 18.601497329410204]
[14.961365201538598, 21.51776502607777]
[15.772284667320644, 19.85735122207098]
[17.33278114530941, 16.41736571790046]
