['x', 'z']
[7.192704649892134, 4.936645223484424]
[7.9916619050292566, 11.358154821147838]
[9.000061932121543, 17.14645121311242]
[10.856328217311026, 24.457772282714]
[10.072944705512123, 21.64891249075087]
[9.369185848355242, 18.810822022240426]
[8.421082564182164, 14.050010266998942]
[9.234118633359401, 18.252393583578595]
[8.162933818054254, 12.478921940581778]
[9.031647470017948, 17.30042358091473]
[10.847075115267723, 24.361158064547833]
[10.047728207464006, 21.55526678792113]
[9.340319396399902, 18.68630838748357]
[8.372709102434362, 13.768175459169099]
[8.81901173811062, 16.236608368841225]
[9.196411090679725, 18.07702605139119]
[8.049592044969843, 11.741536542935373]
[10.93994875053073, 24.726343033391558]
[10.111260542404882, 21.79190025893581]
[9.410402016562658, 18.990532293552448]
[8.497338932071195, 14.486485125890816]
[10.35165907780623, 22.734907599597612]
[9.667902215698486, 20.06971386097428]
[8.879734210121375, 16.525684959264634]
[9.531007222138436, 19.559467508045504]
[8.716664029453664, 15.684490176945072]
[8.68344149426441, 15.524157660871257]
[8.536787248384822, 14.72202607205271]
[10.672128604875418, 23.77635973968079]
[9.925154684549009, 21.087403377713176]
[9.200573802976068, 18.058683463553837]
[8.040430033591544, 11.682787698116806]
[10.298863277401313, 22.546942177537083]
[9.616546546229081, 19.86100447293557]
[8.816971769295025, 16.206103632946196]
[9.171967380848258, 17.962952689098696]
[7.964375161265791, 11.170517180745561]
[8.534956463880803, 14.71021438927579]
[11.288862831600186, 25.774727216582946]
[10.261186456481244, 22.339613646794785]
[9.555126685099866, 19.607283212773353]
[8.731124618086046, 15.762024507518888]
[8.759066817244438, 15.92640358973484]
[8.904412870687585, 16.67114094111297]
[9.707267765583033, 20.288353735149954]
[8.953032388394226, 16.88793968206253]
[10.0810075295952, 21.746473801306593]
[9.394964371352385, 18.92361868859376]
[8.470362548658107, 14.33381153144284]
[9.83290982939243, 20.793376279879524]
[9.116286260088149, 17.668488503160848]
[7.656048236709256, 8.927810681742464]
[8.167457316115026, 12.510673878861764]
[9.105231666019613, 17.6505277211652]
[7.620987959350884, 8.649721905919876]
[9.246528756218664, 18.306029185211937]
[8.182189631852046, 12.600746551840945]
[9.311902644700021, 18.60146728385667]
[8.327393434496873, 13.4959464902597]
[8.426731242797327, 14.089235827605206]
[9.29843595991174, 18.543346705974976]
[8.30540791515438, 13.365093380977353]
[8.239044854422037, 12.96327767722431]
[10.519524019669067, 23.252670227471015]
[9.79719592785479, 20.58782972706879]
[9.048246949315564, 17.346744475209274]
[11.256513175819045, 25.673459945650347]
[10.250898852914647, 22.302246510181664]
[9.54732464518181, 19.57305580791661]
[8.717458359921244, 15.688712757295535]
[8.68654212428395, 15.541041899878044]
[8.55398863524649, 14.8174206803542]
[7.585897076714616, 8.374249322964886]
[7.8607556410484, 10.446112463669504]
[8.872570750154111, 16.509890400900012]
[9.494602307004218, 19.402128113900645]
[8.65475614819506, 15.3549765690188]
[8.381019007182413, 13.82246756879395]
[8.885193369720188, 16.577097365583164]
[9.601333431866653, 19.85274182761409]
[8.813199144543608, 16.185555153201417]
[9.140966827078682, 17.819855938137536]
[7.85355617300111, 10.391140028977594]
[8.681578971767756, 15.515858535630016]
[8.541859775623028, 14.747461193209826]
[11.216947761006876, 25.54673972500936]
[10.223272720996622, 22.20411847509664]
[9.52399480130014, 19.476433632208384]
[8.68430260523747, 15.514332161349131]
[8.533774834983232, 14.703308722690647]
[10.957859634150962, 24.720538451525588]
[10.108156252621717, 21.779961404085814]
[9.404932109268513, 18.96742254403228]
[8.489295756502635, 14.441518715194956]
[10.169269044215053, 22.07483201061609]
[9.488688090170948, 19.32582099819075]
[8.6262320309924, 15.200941249407048]
[8.22674179272862, 12.884060349525596]
[10.400771394883456, 22.91164344965781]
[9.720610375090287, 20.2830568590936]
[8.95368235307645, 16.88904552394846]
[10.062672158251761, 21.678049190802923]
[9.3786092601716, 18.851197512798613]
[8.436105806035547, 14.136782033859008]
[9.39069879007494, 18.954108976479052]
[8.486479437625183, 14.42700065971808]
[10.140798639877376, 21.969678465296575]
[9.456028236763043, 19.188295859506855]
[8.578801627560475, 14.941885632713683]
[7.889861020314236, 10.652966946516091]
[9.67135157329345, 20.141571740467857]
[8.908061120349828, 16.66359801482368]
[9.685590875984595, 20.20245471127053]
[8.931649960125277, 16.78232777359967]
[9.88451452271035, 20.99494633176282]
[9.176115196713118, 17.945613419693164]
[7.956528092711817, 11.112796774181612]
[8.365831853701186, 13.731604308204442]
[8.756950309865168, 15.916214953948918]
[8.898577141302505, 16.64275584585317]
[9.67489194131601, 20.156253557389796]
[8.913151442889973, 16.68893699120289]
[9.723743353854275, 20.35744123794967]
[8.983498929743018, 17.034201766750616]
[10.391528645788819, 22.876064114481746]
[9.705146181092111, 20.21996957037075]
[8.931458534213741, 16.780011248601724]
[9.872509122814659, 20.9479726479445]
[9.161368034126447, 17.877138395681104]
[7.898465493103131, 10.712344851145696]
[10.009958143779086, 21.47819523938563]
[9.317115181209482, 18.582675698570142]
[8.3229665537011, 13.470302456342758]
[8.391585060690703, 13.88381021021288]
[8.976606389488474, 17.02864155304652]
[10.376300322934991, 22.822000444827438]
[9.690799663085565, 20.161995908349567]
[8.913640541628176, 16.691267636161122]
[9.72776765073257, 20.37231749355708]
[8.985446983838177, 17.043557513077833]
[10.408472854660861, 22.937570044874327]
[9.725095131286967, 20.300470772708756]
[8.955676242457812, 16.900472339930637]
[10.104138056865686, 21.83368177588691]
[9.422738842294772, 19.042790666854707]
[8.516123101168219, 14.59299453215749]
[11.265695598731764, 25.75794063926726]
[10.26100432404087, 22.3390661224646]
[9.559550918043248, 19.6231727614583]
[8.732629092360794, 15.768397955923305]
[8.754424085721121, 15.903413478493556]
[8.889177781169792, 16.59650898674251]
